fahrzeug_id,typ,kilometerstand,laenge,hoehe,gewicht,sitze,farbe,ps,schaltung,verbrauch,neupreis,gebrauchtpreis,erstzulassung
139,Kompaktwagen,65361.824,4.11,1.41,1570,4,grau,179,Automatik,6.45,34402.23,14196.31,2022-03-26
140,Kompaktwagen,40508.62,4.35,1.45,1758,4,rot,137,Automatik,6.07,32167.42,16706.78,2023-07-16
141,Kompaktwagen,62754.539,4.17,1.54,1813,4,blau,158,Automatik,6.85,40279.66,20396.39,2023-03-23
142,Kompaktwagen,36270.342,4.44,1.47,1825,5,gelb,116,Automatik,6.14,31596.49,17219.1,2022-06-02
143,Kompaktwagen,74376.917,4.21,1.4,1683,4,schwarz,108,Handschaltung,5.9,32286.08,10514.04,2022-04-14
144,Kompaktwagen,67780.484,4.25,1.39,1657,4,schwarz,141,Handschaltung,6.49,36621.73,16067.15,2021-11-21
145,Kompaktwagen,62299.543,4.33,1.54,1877,4,schwarz,184,Automatik,7.5,30889.93,10986.62,2022-10-04
146,Kompaktwagen,75496.606,4.14,1.4,1607,4,rot,158,Automatik,5.97,31352.72,8351.07,2021-01-15
147,Kompaktwagen,67587.447,4.19,1.67,1983,4,rot,172,Automatik,9.01,33611.18,12471.0,2022-02-18
148,Kompaktwagen,78314.913,4.16,1.56,1821,4,gelb,139,Automatik,7.18,32801.32,9983.75,2021-06-27
149,Kompaktwagen,56908.439,4.28,1.39,1678,5,grau,149,Automatik,5.79,31094.29,12107.69,2022-05-17
150,Kompaktwagen,22798.28,4.12,1.67,1885,4,schwarz,142,Automatik,8.27,36837.52,26039.76,2023-11-05
151,Kompaktwagen,20636.62,4.26,1.66,1972,4,rot,145,Handschaltung,9.42,26857.22,15138.78,2024-03-17
152,Kompaktwagen,61358.568,4.49,1.56,1945,4,schwarz,179,Handschaltung,8.49,39793.57,20008.67,2022-04-15
153,Kompaktwagen,29675.168,4.38,1.53,1869,4,blau,136,Handschaltung,7.64,32458.82,20037.77,2024-03-07
154,Kompaktwagen,58662.197,4.3,1.53,1855,5,schwarz,122,Automatik,6.47,30892.4,10997.6,2022-07-22
155,Kompaktwagen,75824.003,4.33,1.46,1725,4,schwarz,114,Automatik,6.0,28626.9,6080.23,2021-04-29
156,Kompaktwagen,76789.745,4.28,1.48,1812,4,gelb,124,Handschaltung,6.76,32189.43,10147.97,2021-08-05
157,Kompaktwagen,63528.033,4.3,1.42,1666,4,gelb,149,Automatik,6.04,35354.34,15804.54,2023-02-14
158,Kompaktwagen,35855.406,4.31,1.45,1741,5,rot,148,Automatik,6.36,34920.91,20984.46,2023-05-02
159,Kompaktwagen,64869.377,4.28,1.47,1750,4,blau,166,Handschaltung,7.23,37258.6,16853.26,2022-05-14
160,Kompaktwagen,76346.503,4.11,1.53,1717,4,schwarz,159,Automatik,7.16,31357.2,9557.9,2021-09-12
161,Kompaktwagen,67407.145,4.26,1.76,2076,4,rot,159,Handschaltung,11.19,38535.56,18518.27,2022-01-27
162,Kompaktwagen,67677.833,4.24,1.65,1933,5,grün,123,Automatik,7.33,40344.11,19467.83,2022-01-10
163,Kompaktwagen,32986.341,4.17,1.42,1674,4,blau,162,Automatik,5.96,38221.28,24788.55,2022-12-28
164,Kompaktwagen,54059.962,4.33,1.63,1961,5,blau,116,Automatik,7.62,37538.89,19328.63,2022-08-25
165,Kompaktwagen,50852.159,4.16,1.39,1603,4,rot,159,Handschaltung,6.5,33862.85,16529.65,2022-12-06
166,Kompaktwagen,58224.11,4.19,1.31,1534,4,grau,195,Automatik,5.64,29739.08,10599.13,2021-09-26
167,Kompaktwagen,46480.986,4.42,1.62,2032,4,schwarz,160,Handschaltung,9.14,32666.24,15610.83,2022-09-08
168,Kompaktwagen,38757.132,4.35,1.49,1794,4,grau,130,Handschaltung,6.85,37746.89,23031.9,2023-04-01
169,Kompaktwagen,71490.819,4.19,1.52,1771,4,grau,184,Automatik,7.28,28632.86,7676.19,2021-07-08
170,Kompaktwagen,74246.549,4.41,1.43,1779,4,grün,137,Handschaltung,6.4,42128.76,19717.07,2021-09-01
171,Kompaktwagen,51089.361,4.42,1.5,1834,4,schwarz,160,Automatik,6.89,31714.34,13850.36,2022-02-27
172,Kompaktwagen,7096.999,4.25,1.35,1641,4,grau,141,Handschaltung,5.95,36978.98,30161.53,2024-07-14
173,Kompaktwagen,66192.417,4.13,1.51,1747,5,schwarz,133,Handschaltung,7.17,33856.48,13120.04,2022-08-04
174,Kompaktwagen,34693.349,4.23,1.29,1516,4,grau,189,Automatik,5.55,33676.58,19341.59,2023-06-02
175,Kompaktwagen,57532.111,4.1,1.6,1864,4,schwarz,143,Handschaltung,8.33,29419.08,10204.26,2022-04-15
176,Kompaktwagen,38802.971,4.48,1.53,1893,5,grau,209,Automatik,7.78,34109.97,19415.36,2023-08-02
177,Kompaktwagen,51444.957,4.25,1.56,1805,4,schwarz,141,Automatik,7.15,40031.21,22083.16,2022-06-07
178,Kompaktwagen,66272.403,4.24,1.35,1606,4,grün,158,Handschaltung,6.15,35338.75,15543.66,2021-11-03
179,Kompaktwagen,51471.946,4.32,1.52,1903,4,grau,188,Automatik,7.61,42660.05,25345.43,2022-11-23
180,Kompaktwagen,65285.81,4.22,1.43,1667,4,blau,135,Handschaltung,6.76,33408.11,12487.77,2021-11-16
181,Kompaktwagen,53946.757,4.29,1.45,1721,4,grau,143,Handschaltung,6.46,30975.33,12419.48,2022-04-19
182,Kompaktwagen,53443.697,4.24,1.46,1684,4,gelb,122,Automatik,5.66,31283.83,13630.85,2023-02-06
183,Kompaktwagen,70385.861,4.28,1.34,1676,4,gelb,159,Automatik,5.42,36311.9,14870.31,2021-07-02
184,Kompaktwagen,51724.413,4.13,1.55,1795,4,schwarz,108,Automatik,6.44,32683.75,14689.92,2023-01-05
185,Kompaktwagen,44044.552,4.47,1.48,1828,4,schwarz,171,Automatik,6.81,40572.0,24105.67,2023-04-07
186,Kompaktwagen,62713.361,4.31,1.42,1735,4,schwarz,135,Handschaltung,6.49,37522.26,17468.68,2022-08-08
187,Kompaktwagen,53828.008,4.41,1.47,1832,4,schwarz,187,Handschaltung,7.51,39814.56,21282.8,2022-11-22
188,Kompaktwagen,60410.062,4.21,1.58,1881,5,grün,139,Automatik,7.34,39144.52,19542.03,2022-02-02
189,Kompaktwagen,54718.885,4.17,1.51,1771,5,grau,205,Automatik,7.42,33473.72,15574.91,2022-12-05
190,Kompaktwagen,54593.368,4.48,1.67,2058,4,blau,93,Automatik,7.55,38198.06,19682.14,2023-04-09
191,Kompaktwagen,103605.684,4.42,1.46,1856,4,grau,117,Automatik,5.76,31733.74,4884.99,2020-10-22
192,Kompaktwagen,81280.673,4.37,1.38,1693,5,schwarz,119,Automatik,5.5,29536.73,5730.41,2022-03-26
193,Kompaktwagen,78955.845,4.38,1.32,1655,4,gelb,142,Automatik,5.27,37404.72,14620.8,2021-11-10
194,Kompaktwagen,60092.506,4.29,1.58,1894,4,grau,142,Automatik,7.6,37499.97,17692.61,2022-07-04
195,Kompaktwagen,55391.827,4.27,1.42,1695,5,schwarz,197,Automatik,6.37,39516.52,20255.86,2022-09-24
196,Kompaktwagen,19257.851,4.27,1.61,1889,4,grün,134,Automatik,7.43,27078.18,16435.93,2023-06-19
197,Kompaktwagen,57253.932,4.24,1.6,1882,4,grün,151,Automatik,7.63,37662.59,18435.39,2022-09-12
198,Kompaktwagen,54432.194,4.26,1.53,1849,4,grau,114,Automatik,6.48,28638.64,10445.43,2022-07-03
199,Kompaktwagen,56462.489,4.46,1.54,1961,5,gelb,137,Handschaltung,7.56,26813.21,8555.43,2022-05-01
200,Kompaktwagen,35191.102,4.28,1.36,1628,4,rot,129,Automatik,5.51,26963.58,13236.95,2024-02-21
201,Kompaktwagen,64062.137,4.09,1.51,1712,4,gelb,134,Automatik,6.43,33037.26,12494.96,2022-03-10
202,Kompaktwagen,43498.048,5.25,1.58,10,5,grün,2,Automatik,6.8,72363.38,42896.91,2023-04-13
203,Kompaktwagen,62270.275,4.47,1.35,1691,4,schwarz,104,Automatik,5.19,29956.47,10567.8,2022-08-05
204,Kompaktwagen,38363.802,4.27,1.37,1577,4,grün,131,Handschaltung,5.8,30077.97,14688.32,2022-11-23
205,Kompaktwagen,44427.563,4.18,1.65,1938,4,blau,151,Handschaltung,9.35,41440.87,24649.57,2023-01-27
206,Kompaktwagen,50379.752,4.11,1.42,1605,4,schwarz,137,Handschaltung,6.48,35222.54,17552.86,2023-01-20
207,Kompaktwagen,25464.278,4.44,1.46,1821,4,blau,155,Handschaltung,7.07,31901.82,19875.81,2024-01-09
208,Kompaktwagen,65828.582,4.4,1.4,1722,4,grau,116,Handschaltung,5.9,38814.83,17879.03,2022-09-24
209,Kompaktwagen,58706.23,4.2,1.55,1840,5,grün,188,Automatik,7.61,32263.62,12983.5,2022-11-13
210,Kompaktwagen,38033.304,4.25,1.42,1669,4,schwarz,170,Handschaltung,6.96,37300.58,22576.71,2023-01-18
211,Kompaktwagen,33978.67,4.3,1.59,1934,4,grau,157,Automatik,8.02,44237.64,30209.7,2023-03-15
212,Kompaktwagen,71758.482,4.1,1.48,1671,4,gelb,130,Automatik,6.28,32426.28,10697.19,2022-03-05
213,Kompaktwagen,65016.667,4.45,1.44,1781,4,gelb,160,Automatik,6.29,40490.98,20027.77,2022-07-16
214,Kompaktwagen,46650.65,4.18,1.59,1903,4,gelb,119,Handschaltung,7.49,38863.85,22284.2,2022-10-23
215,Kompaktwagen,59767.057,4.27,1.38,1662,4,schwarz,130,Automatik,5.64,38665.74,20050.28,2022-06-24
216,Kompaktwagen,50460.877,4.32,1.67,1976,5,schwarz,124,Automatik,8.26,36820.5,19198.75,2022-10-24
217,Kompaktwagen,64564.095,4.35,1.38,1669,4,schwarz,155,Handschaltung,6.45,32631.88,12328.21,2022-07-25
218,Kompaktwagen,59700.943,4.2,1.58,1872,4,grün,174,Automatik,7.76,36000.36,16921.08,2022-02-01
219,Kompaktwagen,49894.263,4.29,1.57,1910,4,blau,140,Handschaltung,8.16,35499.52,18301.11,2022-05-03
220,Kompaktwagen,48946.468,4.25,1.44,1705,4,grau,177,Automatik,6.33,40316.24,22881.43,2023-05-24
221,Kompaktwagen,55883.284,4.46,1.54,1940,4,schwarz,150,Handschaltung,7.69,35010.47,16680.57,2023-02-01
222,Kompaktwagen,24238.849,4.16,1.59,1839,4,blau,170,Automatik,7.65,36168.59,24782.83,2023-11-01
223,Kompaktwagen,38247.581,4.36,1.41,1693,5,gelb,153,Handschaltung,6.32,30259.94,15064.22,2023-03-22
224,Kompaktwagen,49826.025,4.26,1.51,1765,4,grün,186,Handschaltung,8.01,33287.26,16279.47,2022-12-12
225,Kompaktwagen,44897.612,4.09,1.51,1725,4,rot,174,Handschaltung,7.56,32197.8,15698.47,2022-12-11
